Filename,DATE-OBS,TIME-OBS,DATE-BEG,DATE-END
jw02107021002_02101_00001_nrcb2_i2d.fits,2022-08-13,18:13:23.722,2022-08-13T18:13:23.722,2022-08-13T18:14:28.143
jw02107021002_02101_00001_nrcb4_i2d.fits,2022-08-13,18:13:23.786,2022-08-13T18:13:23.786,2022-08-13T18:14:28.207
jw02107021002_02101_00002_nrcb2_i2d.fits,2022-08-13,18:15:43.306,2022-08-13T18:15:43.306,2022-08-13T18:16:47.727
jw02107021002_02101_00002_nrcb4_i2d.fits,2022-08-13,18:15:43.370,2022-08-13T18:15:43.370,2022-08-13T18:16:47.791
jw02107021002_02101_00003_nrcb2_i2d.fits,2022-08-13,18:18:02.890,2022-08-13T18:18:02.890,2022-08-13T18:19:07.311
jw02107021002_02101_00003_nrcb4_i2d.fits,2022-08-13,18:18:02.954,2022-08-13T18:18:02.954,2022-08-13T18:19:07.375
jw02107021002_02101_00004_nrcb2_i2d.fits,2022-08-13,18:20:22.474,2022-08-13T18:20:22.474,2022-08-13T18:21:26.895
jw02107021002_02101_00004_nrcb4_i2d.fits,2022-08-13,18:20:22.538,2022-08-13T18:20:22.538,2022-08-13T18:21:26.959
jw02107021002_04101_00001_nrcb2_i2d.fits,2022-08-13,18:26:27.529,2022-08-13T18:26:27.529,2022-08-13T18:27:31.950
jw02107021002_04101_00001_nrcb4_i2d.fits,2022-08-13,18:26:27.529,2022-08-13T18:26:27.529,2022-08-13T18:27:31.950
jw02107021002_04101_00002_nrcb2_i2d.fits,2022-08-13,18:28:47.113,2022-08-13T18:28:47.113,2022-08-13T18:29:51.534
jw02107021002_04101_00002_nrcb4_i2d.fits,2022-08-13,18:28:47.113,2022-08-13T18:28:47.113,2022-08-13T18:29:51.534
jw02107021002_04101_00003_nrcb2_i2d.fits,2022-08-13,18:31:06.697,2022-08-13T18:31:06.697,2022-08-13T18:32:11.118
jw02107021002_04101_00003_nrcb4_i2d.fits,2022-08-13,18:31:06.697,2022-08-13T18:31:06.697,2022-08-13T18:32:11.118
jw02107021002_04101_00004_nrcb2_i2d.fits,2022-08-13,18:33:26.281,2022-08-13T18:33:26.281,2022-08-13T18:34:30.702
jw02107021002_04101_00004_nrcb4_i2d.fits,2022-08-13,18:33:26.281,2022-08-13T18:33:26.281,2022-08-13T18:34:30.702
jw02107021002_06101_00001_nrcb2_i2d.fits,2022-08-13,18:38:59.142,2022-08-13T18:38:59.142,2022-08-13T18:40:46.510
jw02107021002_06101_00001_nrcb4_i2d.fits,2022-08-13,18:38:59.142,2022-08-13T18:38:59.142,2022-08-13T18:40:46.510
jw02107021002_06101_00002_nrcb2_i2d.fits,2022-08-13,18:42:01.669,2022-08-13T18:42:01.669,2022-08-13T18:43:49.037
jw02107021002_06101_00002_nrcb4_i2d.fits,2022-08-13,18:42:01.669,2022-08-13T18:42:01.669,2022-08-13T18:43:49.037
jw02107021002_06101_00003_nrcb2_i2d.fits,2022-08-13,18:45:04.197,2022-08-13T18:45:04.197,2022-08-13T18:46:51.565
jw02107021002_06101_00003_nrcb4_i2d.fits,2022-08-13,18:45:04.197,2022-08-13T18:45:04.197,2022-08-13T18:46:51.565
jw02107021002_06101_00004_nrcb2_i2d.fits,2022-08-13,18:48:06.725,2022-08-13T18:48:06.725,2022-08-13T18:49:54.093
jw02107021002_06101_00004_nrcb4_i2d.fits,2022-08-13,18:48:06.725,2022-08-13T18:48:06.725,2022-08-13T18:49:54.093
jw02107021002_08101_00001_nrcb2_i2d.fits,2022-08-13,18:54:54.725,2022-08-13T18:54:54.725,2022-08-13T18:56:42.093
jw02107021002_08101_00001_nrcb4_i2d.fits,2022-08-13,18:54:54.725,2022-08-13T18:54:54.725,2022-08-13T18:56:42.093
jw02107021002_08101_00002_nrcb2_i2d.fits,2022-08-13,18:57:57.253,2022-08-13T18:57:57.253,2022-08-13T18:59:44.621
jw02107021002_08101_00002_nrcb4_i2d.fits,2022-08-13,18:57:57.253,2022-08-13T18:57:57.253,2022-08-13T18:59:44.621
jw02107021002_08101_00003_nrcb2_i2d.fits,2022-08-13,19:00:59.780,2022-08-13T19:00:59.780,2022-08-13T19:02:47.148
jw02107021002_08101_00003_nrcb4_i2d.fits,2022-08-13,19:00:59.780,2022-08-13T19:00:59.780,2022-08-13T19:02:47.148
jw02107021002_08101_00004_nrcb2_i2d.fits,2022-08-13,19:04:02.308,2022-08-13T19:04:02.308,2022-08-13T19:05:49.676
jw02107021002_08101_00004_nrcb3_i2d.fits,2022-08-13,19:04:02.308,2022-08-13T19:04:02.308,2022-08-13T19:05:49.676
jw02107021002_08101_00004_nrcb4_i2d.fits,2022-08-13,19:04:02.308,2022-08-13T19:04:02.308,2022-08-13T19:05:49.676
